Date,date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,cp_rl_126,cp_score_126,cp_rl_21,cp_score_21
1991-01-31,1991-01-31,AAPL,0.495535219,0.495535219,0.0,0.02509645422819421,0.0016959987436478807,0.0,2.3986670825958467,4.040614726041302,0.9792517358616961,1.6329509242181024,1.7009764172401158,1.7682884771087055,1.3180237305527165,3,31,5,1,1991,0.5567171780680337,0.9995708178742058,0.3841082092830724,0.9286888774911588
1991-02-01,1991-02-01,AAPL,0.497767359,0.497767359,0.004504503240969404,0.024692793704282286,-0.0034319888575063164,0.1824217743409172,2.620365361068022,4.223972094875144,1.2682023335840957,1.6014278736655942,1.7099597324871192,1.798431310076942,1.3676625256697486,4,1,5,2,1991,0.5645977237536125,0.999672451216796,0.4319404321118278,0.9590117483202976
1991-02-04,1991-02-04,AAPL,0.493303078,0.493303078,-0.008968609369984892,0.02448672599261669,0.017460954825064372,-0.3662641290913752,2.47260512757737,3.808229715681121,1.4506661155636604,1.4884216864973796,1.6948652788072747,1.816595370597201,1.4107213552333975,0,4,6,2,1991,0.5724929333216813,0.9996935818888462,0.480267781148568,0.9412634408306716
1991-02-05,1991-02-05,AAPL,0.515624484,0.515624484,0.0452488682829586,0.024996565236554927,-0.005727521213476695,1.810203436141968,2.926792313187077,3.7138454179629727,1.6466456910006713,1.667986068053327,1.7026757794274765,1.8293610016961153,1.4442732434615249,1,5,6,2,1991,0.5804689366062539,0.999556638438544,0.5257311726858829,0.8252014080457937
1991-02-06,1991-02-06,AAPL,0.507811992,0.507811992,-0.015151514798897758,0.024968200473352527,0.005822243692624669,-0.6068324713696652,2.75329983672955,3.52086435565609,1.4894545362630138,1.7926382321563763,1.6860423209091098,1.837490446925544,1.4777138312632834,2,6,6,2,1991,0.49355165361661707,0.9960546443619688,0.5735345644897214,0.808690764547843
1991-02-07,1991-02-07,AAPL,0.515624484,0.515624484,0.015384615021064807,0.024587746611682622,0.014972792217361433,0.6257025202039036,2.4516758686232247,3.775595248101475,1.6740243458110697,1.9215082864265927,1.6785990858046278,1.8488323643353772,1.5123434367206618,3,7,6,2,1991,0.5962878793815313,0.9997854734728902,0.6204108008780379,0.8584443881354773
1991-02-08,1991-02-08,AAPL,0.53571375,0.53571375,0.03896103971664755,0.02478846300172679,0.008735601649162428,1.5717408422592996,2.4051193195306775,3.7566541308849226,1.9708444794513138,1.9105868599490219,1.6876076719542636,1.8552086061352187,1.5379433363686066,4,8,6,2,1991,0.6042925196585772,0.9998093886629312,0.6684561820487851,0.8109218622150202
1991-02-11,1991-02-11,AAPL,0.547990523,0.547990523,0.022916665849999074,0.024495806494998412,-0.00864192362707441,0.9355342456137637,2.7246366973859906,3.748780277328175,1.9609239305693185,2.0705379599060922,1.6965624944373578,1.8563767701467417,1.557163407422919,0,11,7,2,1991,0.6123912100668436,0.9998724721905224,0.7173017604870027,0.8189052163502798
1991-02-12,1991-02-12,AAPL,0.53571375,0.53571375,-0.02240325787531905,0.02478500727140801,0.0,-0.9039036232667744,2.6175335767135133,3.330399068449905,1.8311063668773848,1.8785889573078765,1.6720901294440382,1.851155957389633,1.5765086026969715,1,12,7,2,1991,0.5301858485978983,0.9981042035120508,0.7630925493172802,0.7949553709484595
1991-02-13,1991-02-13,AAPL,0.53571375,0.53571375,0.0,0.02442841030684446,-0.01853456416652645,0.0,2.531800079604742,3.438295986441177,1.9279597457051063,1.9387471838952213,1.6435105221689483,1.8468710210244779,1.5975322116031803,2,13,7,2,1991,0.6281853435397804,0.9999182295890447,0.8099970068632436,0.7960918653482679
1991-02-14,1991-02-14,AAPL,0.510044133,0.510044133,-0.047916666316666356,0.02608568771103455,0.0031705343641649977,-1.8368948845614312,1.2401008510080702,2.627009226382382,1.6521443520814858,1.612864804057632,1.5678598827623773,1.8292242989928467,1.6157207610081474,3,14,7,2,1991,0.6358334266532008,0.999844649692572,2.2336549412622323e-06,0.831892368014559
1991-02-15,1991-02-15,AAPL,0.514508414,0.514508414,0.008752734736388046,0.025656809270017806,0.015178925166404464,0.3411466579601685,1.0579716418312195,2.949719334038403,2.0096292150290975,1.7368674975283083,1.5096324936388328,1.8194791366427834,1.638895275563269,4,15,7,2,1991,0.6439671503692901,0.9999090508681316,0.4238589035467238,0.8715456274827025
1991-02-19,1991-02-19,AAPL,0.53571375,0.53571375,0.041214750668781,0.025975114904012282,0.006062926246460277,1.5867013801896486,1.6300518635370667,3.434938800684335,2.1698157807470007,1.9184183430418518,1.4929457932512105,1.8232541906846647,1.6668065732401105,1,19,8,2,1991,0.6519336124307362,0.99986012902528,0.6067813698373546,0.8967711541744339
